Id,ActivityDay,TotalSteps,TotalDistance,VeryActiveMinutes,FairlyActiveMinutes,LightlyActiveMinutes,SedentaryMinutes,Calories
1503960366,2016-04-12,13162,8.50,25,13,328,728,1985
1503960366,2016-04-13,10735,6.97,21,19,217,776,1797
1503960366,2016-04-14,10460,6.74,30,11,181,1218,1776
1503960366,2016-04-15,9762,6.28,29,34,209,726,1745
1503960366,2016-04-16,12669,8.16,36,10,221,773,1863
1503960366,2016-04-17,9705,6.48,38,20,164,539,1728
1503960366,2016-04-18,13019,8.59,42,16,233,1149,1921
1503960366,2016-04-19,15506,9.88,50,31,264,775,2035
1503960366,2016-04-20,10544,6.68,28,12,205,818,1786
1503960366,2016-04-21,9819,6.34,19,8,211,838,1775
1503960366,2016-04-22,12764,8.13,66,27,130,1217,1827
1503960366,2016-04-23,14371,9.04,41,21,262,732,1949
1503960366,2016-04-24,10039,6.41,39,5,238,709,1788
1503960366,2016-04-25,15355,9.80,73,14,216,814,2013
1503960366,2016-04-26,13755,8.79,31,23,279,833,1970
1503960366,2016-04-27,18134,12.21,78,11,243,1108,2159
1503960366,2016-04-28,13154,8.53,48,28,189,782,1898
1503960366,2016-04-29,11181,7.15,16,12,243,815,1837
1503960366,2016-04-30,14673,9.25,52,34,217,712,1947
1503960366,2016-05-01,10602,6.81,33,35,246,730,1820
1503960366,2016-05-02,14727,9.71,41,15,277,798,2004
1503960366,2016-05-03,15103,9.66,50,24,254,816,1990
1503960366,2016-05-04,11100,7.15,36,22,203,1179,1819
1503960366,2016-05-05,14070,8.90,45,24,250,857,1959
1503960366,2016-05-06,12159,8.03,24,6,289,754,1896
1503960366,2016-05-07,11992,7.71,37,46,175,833,1821
1503960366,2016-05-08,10060,6.58,44,8,203,574,1740
1503960366,2016-05-09,12022,7.72,46,11,206,835,1819
1503960366,2016-05-10,12207,7.77,46,31,214,746,1859
1503960366,2016-05-11,12770,8.13,36,23,251,669,1783
1503960366,2016-05-12,0,0.00,0,0,0,1440,0
1624580081,2016-04-12,8163,5.31,0,0,146,1294,1432
1624580081,2016-04-13,7007,4.55,0,0,148,1292,1411
1624580081,2016-04-14,9107,5.92,0,0,236,1204,1572
1624580081,2016-04-15,1510,0.98,0,0,96,1344,1344
1624580081,2016-04-16,5370,3.49,0,0,176,1264,1463
1624580081,2016-04-17,6175,4.06,15,22,127,1276,1554
1624580081,2016-04-18,10536,7.41,17,7,202,1214,1604
1624580081,2016-04-19,2916,1.90,0,0,141,1299,1435
1624580081,2016-04-20,4974,3.23,0,0,151,1289,1446
1624580081,2016-04-21,6349,4.13,0,0,186,1254,1467
1624580081,2016-04-22,4026,2.62,0,0,199,1241,1470
1624580081,2016-04-23,8538,5.55,0,0,227,1213,1562
1624580081,2016-04-24,6076,3.95,16,18,185,1221,1617
1624580081,2016-04-25,6497,4.22,0,0,202,1238,1492
1624580081,2016-04-26,2826,1.84,0,0,140,1300,1402
1624580081,2016-04-27,8367,5.44,17,36,154,1233,1670
1624580081,2016-04-28,2759,1.79,0,5,115,1320,1401
1624580081,2016-04-29,2390,1.55,0,0,150,1290,1404
1624580081,2016-04-30,6474,4.30,11,23,224,1182,1655
1624580081,2016-05-01,36019,28.03,186,63,171,1020,2690
1624580081,2016-05-02,7155,4.93,7,6,166,1261,1497
1624580081,2016-05-03,2100,1.37,0,0,96,1344,1334
1624580081,2016-05-04,2193,1.43,0,0,118,1322,1368
1624580081,2016-05-05,2470,1.61,0,0,117,1323,1370
1624580081,2016-05-06,1727,1.12,0,0,102,1338,1341
1624580081,2016-05-07,2104,1.37,0,0,182,1258,1474
1624580081,2016-05-08,3427,2.23,0,0,152,1288,1427
1624580081,2016-05-09,1732,1.13,0,0,91,1349,1328
1624580081,2016-05-10,2969,1.93,0,0,139,1301,1393
1624580081,2016-05-11,3134,2.04,0,0,112,1328,1359
1624580081,2016-05-12,2971,1.93,0,0,107,890,1002
1644430081,2016-04-12,10694,7.77,2,51,256,1131,3199
1644430081,2016-04-13,8001,5.82,30,16,135,1259,2902
1644430081,2016-04-14,11037,8.02,5,58,252,1125,3226
1644430081,2016-04-15,5263,3.83,3,4,170,1263,2750
1644430081,2016-04-16,15300,11.12,51,42,212,1135,3493
1644430081,2016-04-17,8757,6.37,29,13,186,1212,3011
1644430081,2016-04-18,7132,5.19,15,33,121,1271,2806
1644430081,2016-04-19,11256,8.18,5,58,278,1099,3300
1644430081,2016-04-20,2436,1.77,0,0,125,1315,2430
1644430081,2016-04-21,1223,0.89,0,0,38,1402,2140
1644430081,2016-04-22,3673,2.67,0,0,86,1354,2344
1644430081,2016-04-23,6637,4.83,0,15,160,1265,2677
1644430081,2016-04-24,3321,2.41,0,0,89,1351,2413
1644430081,2016-04-25,3580,2.60,8,1,94,1337,2497
1644430081,2016-04-26,9919,7.21,11,41,223,1165,3123
1644430081,2016-04-27,3032,2.20,0,0,118,1322,2489
1644430081,2016-04-28,9405,6.84,3,53,227,1157,3108
1644430081,2016-04-29,3176,2.31,0,0,120,1193,2498
1644430081,2016-04-30,18213,13.24,9,71,402,816,3846
1644430081,2016-05-01,6132,4.46,3,24,146,908,2696
1644430081,2016-05-02,3758,2.73,1,7,148,682,2580
1644430081,2016-05-03,12850,9.34,10,94,221,1115,3324
1644430081,2016-05-04,2309,1.68,0,0,52,1388,2222
1644430081,2016-05-05,4363,3.19,6,12,81,1341,2463
1644430081,2016-05-06,9787,7.12,11,6,369,1054,3328
1644430081,2016-05-07,13372,9.72,41,17,243,1139,3404
1644430081,2016-05-08,6724,4.89,0,0,295,991,2987
1644430081,2016-05-09,6643,4.83,32,6,303,1099,3008
1644430081,2016-05-10,9167,6.66,12,19,155,1254,2799
1644430081,2016-05-11,1329,0.97,0,0,49,713,1276
1844505072,2016-04-12,6697,4.43,0,0,339,1101,2030
1844505072,2016-04-13,4929,3.26,0,0,248,1192,1860
1844505072,2016-04-14,7937,5.25,0,0,373,843,2130
1844505072,2016-04-15,3844,2.54,0,0,176,527,1725
1844505072,2016-04-16,3414,2.26,0,0,147,1293,1657
1844505072,2016-04-17,4525,2.99,2,8,199,1231,1793
1844505072,2016-04-18,4597,3.04,0,12,217,1211,1814
1844505072,2016-04-19,197,0.13,0,0,10,1430,1366
1844505072,2016-04-20,8,0.01,0,0,1,1439,1349
1844505072,2016-04-21,8054,5.32,2,13,308,1117,2062
1844505072,2016-04-22,5372,3.55,0,0,220,1220,1827
1844505072,2016-04-23,3570,2.36,0,0,139,1301,1645
1844505072,2016-04-24,0,0.00,0,0,0,1440,1347
1844505072,2016-04-25,0,0.00,0,0,0,1440,1347
1844505072,2016-04-26,0,0.00,0,0,0,1440,1347
1844505072,2016-04-27,4,0.00,0,0,1,1439,1348
1844505072,2016-04-28,6907,4.57,0,0,302,1138,1992
1844505072,2016-04-29,4920,3.25,0,0,247,1082,1856
1844505072,2016-04-30,4014,2.67,0,0,184,218,1763
1844505072,2016-05-01,2573,1.70,0,7,75,585,1541
1844505072,2016-05-02,0,0.00,0,0,0,1440,1348
1844505072,2016-05-03,4059,2.68,0,0,184,1256,1742
1844505072,2016-05-04,2080,1.37,0,0,87,1353,1549
1844505072,2016-05-05,2237,1.48,0,0,120,1320,1589
1844505072,2016-05-06,44,0.03,0,0,2,1438,1351
1844505072,2016-05-07,0,0.00,0,0,0,1440,1347
1844505072,2016-05-08,0,0.00,0,0,0,1440,1347
1844505072,2016-05-09,0,0.00,0,0,0,1440,1347
1844505072,2016-05-10,0,0.00,0,0,0,1440,1347
1844505072,2016-05-11,0,0.00,0,0,0,1440,1347
1844505072,2016-05-12,0,0.00,0,0,0,711,665
1927972279,2016-04-12,678,0.47,0,0,55,734,2220
1927972279,2016-04-13,356,0.25,0,0,32,986,2151
1927972279,2016-04-14,2163,1.50,0,9,88,1292,2383
1927972279,2016-04-15,980,0.68,0,0,51,941,2221
1927972279,2016-04-16,0,0.00,0,0,0,1440,2064
1927972279,2016-04-17,0,0.00,0,0,0,1440,2063
1927972279,2016-04-18,244,0.17,0,0,17,1423,2111
1927972279,2016-04-19,0,0.00,0,0,0,1440,2063
1927972279,2016-04-20,0,0.00,0,0,0,1440,2063
1927972279,2016-04-21,0,0.00,0,0,0,1440,2064
1927972279,2016-04-22,149,0.10,0,0,10,1430,2093
1927972279,2016-04-23,2945,2.04,0,0,145,1295,2499
1927972279,2016-04-24,2090,1.45,1,6,75,1358,2324
1927972279,2016-04-25,152,0.11,0,0,12,1303,2100
1927972279,2016-04-26,3761,2.60,0,0,192,1058,2638
1927972279,2016-04-27,0,0.00,0,0,0,1440,2063
1927972279,2016-04-28,1675,1.16,0,0,95,1167,2351
1927972279,2016-04-29,0,0.00,0,0,0,1440,2063
1927972279,2016-04-30,0,0.00,0,0,0,1440,2064
1927972279,2016-05-01,2704,1.87,14,1,70,1355,2411
1927972279,2016-05-02,3790,2.62,16,8,94,1322,2505
1927972279,2016-05-03,1326,0.92,10,0,17,1413,2195
1927972279,2016-05-04,1786,1.24,0,0,87,1353,2338
1927972279,2016-05-05,0,0.00,0,0,0,1440,2063
1927972279,2016-05-06,2091,1.45,0,0,108,1332,2383
1927972279,2016-05-07,1510,1.04,0,0,48,1392,2229
1927972279,2016-05-08,0,0.00,0,0,0,1440,2063
1927972279,2016-05-09,0,0.00,0,0,0,1440,2063
1927972279,2016-05-10,0,0.00,0,0,0,1440,2063
1927972279,2016-05-11,0,0.00,0,0,0,1440,2063
1927972279,2016-05-12,0,0.00,0,0,0,966,1383
2022484408,2016-04-12,11875,8.34,42,14,227,1157,2390
2022484408,2016-04-13,12024,8.50,43,5,292,1100,2601
2022484408,2016-04-14,10690,7.50,32,3,257,1148,2312
2022484408,2016-04-15,11034,8.03,27,9,282,1122,2525
2022484408,2016-04-16,10100,7.09,41,11,151,1237,2177
2022484408,2016-04-17,15112,11.40,28,29,331,1052,2782
2022484408,2016-04-18,14131,10.07,48,3,311,1078,2770
2022484408,2016-04-19,11548,8.53,31,7,250,1152,2489
2022484408,2016-04-20,15112,10.67,48,63,276,1053,2897
2022484408,2016-04-21,12453,8.74,104,53,255,1028,3158
2022484408,2016-04-22,12954,9.33,52,10,273,1105,2638
2022484408,2016-04-23,6001,4.21,0,0,249,1191,2069
2022484408,2016-04-24,13481,10.28,37,26,216,1161,2529
2022484408,2016-04-25,11369,8.01,44,8,217,1171,2470
2022484408,2016-04-26,10119,7.19,55,24,275,1086,2793
2022484408,2016-04-27,10159,7.13,19,20,282,1119,2463
2022484408,2016-04-28,10140,7.12,6,20,291,1123,2296
2022484408,2016-04-29,10245,7.19,21,40,281,1098,2611
2022484408,2016-04-30,18387,12.91,13,23,361,1043,2732
2022484408,2016-05-01,10538,7.40,25,28,245,1142,2380
2022484408,2016-05-02,10379,7.29,36,8,277,1119,2473
2022484408,2016-05-03,12183,8.74,72,14,250,1104,2752
2022484408,2016-05-04,11768,8.29,36,27,272,1105,2649
2022484408,2016-05-05,11895,8.35,55,20,253,1112,2609
2022484408,2016-05-06,10227,7.18,24,17,295,1104,2498
2022484408,2016-05-07,6708,4.71,20,2,149,1269,1995
2022484408,2016-05-08,3292,2.31,0,0,135,1305,1848
2022484408,2016-05-09,13379,9.39,35,47,297,1061,2709
2022484408,2016-05-10,12798,8.98,57,28,271,1084,2797
2022484408,2016-05-11,13272,9.32,58,25,224,1133,2544
2022484408,2016-05-12,9117,6.41,16,16,236,728,1853
2026352035,2016-04-12,4414,2.74,3,8,181,706,1459
2026352035,2016-04-13,4993,3.10,0,0,238,663,1521
2026352035,2016-04-14,3335,2.07,0,0,197,653,1431
2026352035,2016-04-15,3821,2.37,0,0,188,687,1444
